,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
default settings,,"20 repeats, max 1000, 20 sols",,,Crossover 1/2,cutoff 10,,,,,,,,
n = 38 * 20,,,,,,,,,,,,,,
mut,,1,,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/20,1/50
fails,,152,,137,112,95,92,93,80,98,68,84,131,273
avg,,298,,281,258,258,240.2,238,257,249,232,255,288,361
std,,275,,258,252,247,231,237,247,245,228,243,245,276
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
default settings,,"20 repeats, max 1000, x sols",,,Crossover 1/2,cutoff 10,mut 1/8,,,,,,,
n = 38 * 20,,,,,,,,,,,,,,
sols per algorun,10,100,150,200,1000,,,,,,,,,
fails,217,3,2,0,0,,,,,,,,,
avg,354.5,69,48,35,10,,,,,,,,,
std,276,109,76,50,16,,,,,,,,,
